"","scientific_name","common_name","new_notes_on_changes_being_made","conservation_plan_1","conservation_plan_2","conservation_plan_3","sum_part","all_partner_names","coop","total"
"1","Calochortus persistens","SISKIYOU MARIPOSA LILY",NA,"None",NA,NA,"2_NA_NA","USFS,BLM","0",2
"2","Allium gooddingii","GOODING'S ONION",NA,"CCA",NA,NA,"1_NA_NA","USFS","0",1
"3","Astragalus cusickii var. packardiae","PACKARDS MILKVETCH",NA,"None",NA,NA,"1_2_NA","BLM","0",1
"4","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","doc 3 wrong year - deleted information","CCA","Dillon Resource Management Plan","Big Hole River Drought Management Plan","4? + unspecified landowners_1_2","Montana Department of Fish Wildlife and Parks, USFWS, BLM","Montana Department of Natural Resources and Conservation, NRCS",3
"5","Cimicifuga arizonica","ARIZONA BUGBANE",NA,"CCA",NA,NA,"2_NA_NA","USFS, USFWS","0",2
"6","Lupinus aridus ssp. ashlandensis","ASHLAND LUPINE",NA,"CCA",NA,NA,"2_NA_NA","USFS, USFWS","0",2
"7","Erigeron basalticus","BASALT DAISY",NA,"None",NA,NA,"2_NA_NA","Rare Care, NPS,NA,NA","0",4
"8","Pseudanophthalmus major","BEAVER CAVE BEETLE",NA,"None",NA,NA,"NA_NA_NA","Kentucky Ecological Services Field Office, Owner of the Beaver Cave property,  Kentucky Department of Fish and Wildlife Resources,  Natural Resources Conservation Service,  Farm Service Agency,  Kentucky State Nature Preserves Commission,  Kentucky Division of Forestry","0",7
"9","Opuntia X multigeniculata","BLUE DIAMOND CHOLLA",NA,"HCP",NA,NA,"7_NA_NA","BLM","0",1
"10","Phacelia stellaris","BRAND'S PHACELIA",NA,"HCP","CCA",NA,"5_16_NA","California Department of Fish and Game, California Department of Forestry and Fire Protection, California Department of Parks and Recreation, Center for Natural Lands Management, City of Riverside Park and Recreation Department, Metropolitan Water District, Riverside County Environmental Programs Department, Riverside County Habitat Conservation Agency, Riverside County Regional Park and Open-Space District, Riverside Land Conservancy, San Diego State University Field Stations Program, The Nature Conservancy, University of California Riverside, BLM, USFWS, USFS, US Navy, US Marine Corps, US Customs and Border Protection, California State Parks","0",20
"11","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH",NA,"CCA",NA,NA,"4_NA_NA","Mississippi Army National Guard, USFS, Mississippi Department of Wildlife Fisheries and Parks, USFWS","0",4
"12","Synthyris ranunculina","CHARLESTON KITTENTAILS",NA,"CCA","HCP",NA,"3?_10_NA","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City","0",11
"13","Castilleja christii","CHRISTÕS PAINTBRUSH",NA,"CCA",NA,NA,"2 or 3_NA_NA","USFS,  USFWS","0",2
"14","Astragalus oophorus clokeyanus","CLOKEY'S EGGVETCH",NA,"HCP","CCA",NA,"3_10_NA","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City","0",11
"15","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE","what's happening here???? doc 2 wrong year but information not incorporated in original count information","CCA",NA,NA,"9_3_NA","Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association, USFWS","0",9
"16","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE",NA,"HCP",NA,NA,"4_NA_NA","Utah Division of Parks and Recreation, BLM, USFWS, Kane County","0",4
"17","Gila bicolor vaccaceps","COW HEAD TUI CHUB",NA,"CCA",NA,NA,"8+_NA_NA","private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners, all CA signatories), principal permittees on BLM lands within the drainage, California and Modoc County Cattlemen's Associations, the California Farm Bureau Federation, BLM, California Department of Fish and Game","0",7
"18","Downingia concolor brevior","CUYAMAC LAKE DOWNINGIA",NA,"CCA",NA,NA,"1_NA_NA","California Department of Fish and Wildlife Natural Heritage Division Endangered plant program","0",1
"19","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD",NA,"CCA",NA,NA,"3+_15_NA","USFWS, BLM, Center of Excellence for Hazardous Materials Management, Natural Resources Conservation Service, Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System - University Lands, Texas Farm Bureau, Texas Oil and Gas Association, Texas Royalty Council, Texas and Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business","0",17
"20","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT",NA,"**",NA,NA,"3_NA_NA","California Department of Fish and Wildlife, USFS, USFWS","0",3
"21","Pyrgulopsis notidicola","ELONGATE MUD MEADOW SPRINGSNAIL",NA,NA,NA,NA,"7_NA_NA","Nevada Department of Wildlife, NPS, BLM, USFWS, Nevada Natural Heritage Program, The Nature Conservancy, Desert Research Institute","0",7
"22","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","years check?","HCP","CCA",NA,"10_43+_??","Anza-Borrego State Park, Arizona Game and Fish Department, California Department of Fish and Game, California State Parks, Ocotillo Wells State Vehicular Recreation Area, BLM, U.S. Bureau of Reclamation, USFWS, U.S. Marine Corps Air Station, U.S. Naval Air Facility, U.S. Navy SW Division, The Arizona Department of Water Resources, Arizona Electric Power Cooperative Inc., Arizona Game and Fish Commission, Arizona Power Authority, Central Arizona Water Conservation District, Cibola Valley Irrigation and Drainage District, City of Bullhead City, City of Lake Havasu City, City of Mesa, City of Somerton, City of Yuma, Electrical District No. 3 Pinal County Arizona, Golden Shores Water Conservation District, Mohave County Water Authority, Mohave Valley Irrigation and Drainage District, Mohave Water Conservation District, North Gila Valley Irrigation and Drainage District, Salt River Project Agricultural Improvement and Power District, Town of Fredonia, Town of Thatcher, Town of Wickenburg, Unit ‚Äö√Ñ√∫B‚Äö√Ñ√π Irrigation and Drainage District, Wellton-Mohawk Irrigation and Drainage District, Yuma County Water Users‚Äö√Ñ√¥ Association; Yuma Irrigation District, Yuma Mesa Irrigation and Drainage District, City of Needles, Coachella Valley Water District, Colorado River Board of California, Imperial Irrigation District, Los Angeles Department of Water and Power, Palo Verde Irrigation District, San Diego County Water Authority, Southern California Edison Company, the Southern California Public Power Authority, Bard Water District, Metropolitan Water District of Southern California, NPS, Bureau of Indian Affairs, Western Area Power Administration (Western), Colorado River Commission of Nevada, Nevada Department of Wildlife, Basic Water Company, Southern Nevada Water Authority","0",54
"23","Dalea tentaculoides","GENTRY'S INDIGOBUSH",NA,"None",NA,NA,"2?_NA_NA","USFWS, Tohono Oodham Nation","0",2
"24","Symphyotrichum georgianum","GEORGIA ASTER",NA,"CCA",NA,NA,"9_NA_NA","USFWS, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, NPS, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, USFS","0",9
"25","Astragalus anserinus","GOOSE CREEK MILKVETCH",NA,"None",NA,NA,"2_NA_NA","BLM, USFWS","U.S. Fish and Wildlife Service, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, National Park Service, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, Forest Service",2
